plate,mjd,fiberid,snMedian,psfmag_g,psfmag_r,gmr
3254,54889,357,23.26496,18.53286,18.26803,0.2648315
3258,54884,198,25.328,18.44367,18.06183,0.381834
3258,54884,305,22.65364,18.59726,18.25944,0.3378162
4041,55361,458,21.71429,18.95715,18.58239,0.3747597
4043,55630,216,23.9849,18.76039,18.70083,0.05955696
4353,55532,428,20.19728,18.83856,18.56224,0.2763233
4354,55810,984,24.99503,18.3825,18.00596,0.3765392
4840,55690,208,21.20287,18.67048,18.39817,0.2723045
4841,55895,916,20.19669,18.45847,18.33852,0.1199532
4842,55867,622,24.25939,18.39959,18.05579,0.3437977
5485,56063,830,23.28682,18.55293,18.28867,0.2642593
5487,55982,764,28.65509,18.50762,18.20053,0.3070889
5487,55982,827,21.97248,18.67936,18.37576,0.3035984
5989,56312,800,24.27703,18.60442,18.24826,0.3561592
635,52145,87,21.35014,18.42477,18.10924,0.3155308
1004,52723,552,23.00471,18.39855,18.08465,0.3138962
2783,54524,397,24.64192,18.37316,18.07851,0.2946472
3152,54801,130,27.28146,18.89111,18.49939,0.3917236
3152,54801,144,32.63959,18.54891,18.28256,0.2663517
3152,54801,568,40.13477,18.1145,18.13525,-0.02075195
3154,54821,321,21.5761,18.98494,18.62655,0.3583927
3154,54821,422,25.53577,18.70368,18.37776,0.3259182
3154,54821,477,27.07757,18.7817,18.45491,0.326786
3155,54829,380,24.01259,18.70282,18.40774,0.2950821
3962,55660,318,22.24741,18.43833,18.1237,0.3146286
4201,55443,690,23.52403,18.99148,18.59155,0.399931
4692,55644,206,21.43102,18.64333,18.28608,0.3572502
4873,55926,602,21.46721,18.70131,18.65337,0.04794693
5797,56273,80,22.5974,18.58451,18.21638,0.3681221
6121,56187,228,27.1147,18.69557,18.32686,0.3687096
6412,56358,456,23.84322,18.62738,18.60333,0.02404976
6678,56401,246,28.52793,18.40243,18.19841,0.2040215
7635,56979,757,20.62212,18.73325,18.49585,0.2374058
8186,57452,595,20.27268,18.91899,18.53915,0.379837
1271,52974,576,22.31689,18.32426,18.09872,0.2255363
1885,53230,587,21.25535,18.43617,18.26714,0.1690388
2828,54438,162,31.81828,18.35508,18.10753,0.247551
2828,54438,357,26.57451,18.63504,18.36238,0.2726669
2829,54623,313,23.48695,18.80089,18.48958,0.3113098
2829,54623,617,24.45404,18.91627,18.59053,0.3257427
3230,54860,404,20.71195,19.08669,18.70406,0.382637
3230,54860,542,22.76768,18.77511,18.42311,0.3520012
3230,54860,603,30.08776,18.38544,18.26034,0.1251011
3232,54882,537,20.65997,18.87074,18.85941,0.01132774
3232,54882,565,23.66585,18.82057,18.46209,0.3584766
3233,54891,248,27.00314,18.42442,18.07895,0.3454704
3233,54891,259,24.11696,18.66216,18.29708,0.3650799
3235,54880,35,20.15989,18.41403,18.61106,-0.1970348
3235,54880,277,28.52189,18.42351,18.37584,0.04767036
3235,54880,524,23.25234,18.71174,18.31732,0.3944206
3235,54880,621,29.29569,18.44237,18.10972,0.332655
3236,54892,336,21.04415,19.11518,18.90923,0.205946
3236,54892,479,22.13626,18.8352,18.53489,0.3003159
3236,54892,538,28.15228,18.52249,18.26018,0.2623081
4072,55362,818,23.02042,18.77358,18.46352,0.3100662
4397,55921,890,23.9006,18.33444,18.0013,0.3331356
4956,55737,414,22.90638,18.45365,18.10573,0.3479118
5208,56008,196,26.12032,18.4931,18.20822,0.2848816
5208,56008,710,27.84643,18.42485,18.10917,0.3156815
